strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
compressive,-0.8,m0.8percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+ED,0.0,-0.7885727,-0.2170764,668.8189,-668.8189,0.0434318282,-0.8167513348
compressive,-1.0,m1percent,103,strain,SW+ED,15.0,114.0683,-199.0523,668.8327,-704.2535514213,-44.1389217284,45.2688268975
compressive,-1.0,m1percent,103,strain,SW+ED,30.0,200.2273,-382.7554,622.1215,-751.9885667371,-58.2394042995,68.9144102509
compressive,-1.0,m1percent,103,strain,SW+ED,45.0,287.0685,-549.9694,515.806,-797.85107758,-68.3912368266,98.4214966068
compressive,-1.0,m1percent,103,strain,SW+ED,60.0,322.1574,-632.4405,388.0291,-801.8438797184,-14.8873691266,105.6300982698
compressive,-1.0,m1percent,103,strain,SW+ED,75.0,308.3446,-669.5671,220.1599,-764.7291912121,23.0177311377,80.7856638327
compressive,-1.0,m1percent,103,strain,SW+ED,90.0,297.7185,-679.7903,2.893169,-739.0525599436,2.893169,67.4720005417
compressive,-1.0,m1percent,103,strain,SW+ED,105.0,311.6873,-670.3977,-221.0934,-766.7529617881,-23.4418937606,83.6941687106
compressive,-1.0,m1percent,103,strain,SW+ED,120.0,328.2409,-632.7342,-389.8741,-804.6737139804,14.3907522063,111.3085370186
compressive,-1.0,m1percent,103,strain,SW+ED,135.0,291.4822,-549.2776,-516.3276,-798.7427642523,68.5452697047,102.8274664479
compressive,-1.0,m1percent,103,strain,SW+ED,150.0,205.7631,-383.1615,-621.9033,-752.8675169712,60.1981907624,74.0377111564
compressive,-1.0,m1percent,103,strain,SW+ED,165.0,113.0797,-196.4791,-667.0645,-701.8328720545,41.9366235271,45.1446758766
compressive,-1.0,m1percent,103,strain,SW+ED,180.0,0.7885697,0.2170758,-668.8188,-668.8188,0.0434314487,0.816748299
compressive,-1.0,m1percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
compressive,-1.0,m1percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
